class,filename,width,height,mode,mean_intensity,contrast,filepath
COVID,COVID-1.png,299,299,L,145.89684679142292,51.81663222717359,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-1.png
COVID,COVID-10.png,299,299,L,141.35546582252994,40.623291001720276,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-10.png
COVID,COVID-100.png,299,299,L,152.87856959094418,73.7780435857723,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-100.png
COVID,COVID-1000.png,299,299,L,162.77105401505577,76.24912908908826,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-1000.png
COVID,COVID-1001.png,299,299,L,129.89078421941588,66.17955863252429,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-1001.png
COVID,COVID-1002.png,299,299,L,175.73876131139474,56.92615523378594,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-1002.png
COVID,COVID-1003.png,299,299,L,160.75593114170982,63.50352574542526,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-1003.png
COVID,COVID-1004.png,299,299,L,135.65399715886846,56.232301617634924,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-1004.png
COVID,COVID-1005.png,299,299,L,140.91986666815808,42.64525976194368,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-1005.png
COVID,COVID-1006.png,299,299,L,147.75765371751993,41.56915148200502,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-1006.png
COVID,COVID-1007.png,299,299,L,127.00881421908032,60.9334409835136,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-1007.png
COVID,COVID-1008.png,299,299,L,135.1283430834107,45.062532832940725,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-1008.png
COVID,COVID-1009.png,299,299,L,136.417422623908,54.891649378291,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-1009.png
COVID,COVID-101.png,299,299,L,117.82074026017607,48.27921798525288,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-101.png
COVID,COVID-1010.png,299,299,L,140.37751255578797,50.49755802320877,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-1010.png
COVID,COVID-1011.png,299,299,L,153.92179058399793,40.836464046029185,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-1011.png
COVID,COVID-1012.png,299,299,L,152.67561884095255,42.01110458471878,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-1012.png
